1	How do I get funding for my web based startup idea ?	How do I get seed funding pre product ?	327970
0	Is honey a viable alternative to sugar for diabetics ?	How would you compare the United States ' euthanasia laws to Denmark ?	90348
1	How can I stop my depression ?	What can I do to stop being depressed ?	339556
0	Why is Mia Khalifa suddenly so popular ?	What are some tricks male porn stars have to last longer ?	399933
1	How do you cook chicken gizzards ? What are the best recipes ?	What can I do with chicken gizzards ?	185728
0	How much money do you need to earn to live a comfortable life in INDIA ?	How much money do you need to earn to live a comfortable life in Japan ?	69655
1	When did you figure out that you want to be a graphic designer ?	How did you figured out that you want to be a graphic designer ?	308010
0	What is your favorite song and why ?	What is your favorite song or artist ?	169490
1	Which is the best android device to buy under 15000 ?	What are the best smartphones under 15000 ?	327364
0	Is there a chance that the faithless electors can change the result of 2016 US presidential election on December 19th 2016 ?	Does the Electoral College have the power to reject Trump , or any candidate for that matter , if enough electors decided to change their vote ?	10295
1	Which are some of the best pictures ever taken ?	What are the most amazing photos you have ever taken ?	283463
0	How much do graduation marks affect our admission in IIM and FMS if 10th and 12th score is 90 + ?	I have 90 % in 10th grade , 87 % in 12th grade and 68 % in graduation . How is my profile for any of the IIMs ?	107381
1	What were the major effects of the cambodia earthquake , and how do these effects compare to the Andreanof Islands earthquake in 1957 ?	What were the major effects of the cambodia earthquake , and how do these effects compare to the Kuril Islands earthquake in 1963 ?	189245
0	Do you ever wake up , sometimes in the dead of night , get up for some milk and cookies or a smoke or whatever and think , hold on , this life is n't real ?	Have you had a wake-up call in life ?	179301
1	What do intelligent people do to pass time ?	How do intelligent people spend their time ?	148885
0	Indian live in Tokyo ?	Who is the bravest man in Game of Thrones ?	142834
1	What ` s the best way to get rid of porn addiction ?	What is the most effective way to break a porn addiction ?	86827
0	Which is the best car to buy within 5 lakh range ?	Which is the best car in the range of 3-5 lakhs ?	313097
1	How do Trump supporters justify Trump not releasing his tax returns , even though multiple sources say he has no excuse not to ?	Do Donald Trump supporters actually not care about his tax returns , or do they just tolerate them and look at the bigger picture ?	214132
0	`` How do you know if you had a '' `` bar raiser '' '' round at Amazon ? ''	Should I leave an Amazon SDE-1 job for Zomato after a year ? A Zomato HR is pursuing me to go for interview round .	182057
